"Sample # - No d'échantillon","Sampled From – Lieu d'échantillonnage","Declared Country of Origin ","Pays d'origine déclaré","Declared Floral Source","Source florale déclarée","Calculated C4 Sugar Addition – Addition de sucre C4 calculé","SIRA Assessment – Évaluation d'ARIS ","NMR Assessment – Évaluation de RMN","Sample Assessment – Évaluation d'échantillon"
"OTT-FD-2018-CH-0305","ON","Saudi Arabia","Arabie Saoudite","undeclared","non déclaré","2","S","S","S"
"OTT-FD-2018-CH-0306","ON","India, Thailand","Inde, Thailande","undeclared","non déclaré","5.8","S","S","S"
"OTT-FD-2018-CH-0321","BC","Mexico, Thailand","Mexique, Thailande","blossom","fleur","0","S","S","S"
"OTT-FD-2018-CH-0322","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0323","QC","Turkey","Turquie","undeclared","non déclaré","-","ND-AD","U-I","U-I"
"OTT-FD-2018-CH-0325","ON","USA, Viet Nam, India, Uruguay","États-Unis, Viet Nam, Inde, Uruguay","undeclared","non déclaré","1","S","S","S"
"OTT-FD-2018-CH-0340","ON","Viet Nam","Viet Nam","undeclared","non déclaré","4.3","S","U-I","U-I"
"OTT-FD-2018-CH-0341","ON","Viet Nam","Viet Nam","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0342","ON","Viet Nam","Viet Nam","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0343","ON","Viet Nam","Viet Nam","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0355","ON","USA, Viet Nam, India, Uruguay","États Unis, Viet Nam, Inde, Uruguay","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0357","ON","Myanmar, Thailand","Myanmar, Thailande","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0358","ON","Spain, Mexico, Guatemala, Ukraine, Bulgaria, Thailand","Espagne, Mexique, Guatemala, Ukraine, Bulgarie, Thailande","wildflower","fleur sauvage","0","S","S","S"
"OTT-FD-2018-CH-0366","AB","Netherlands","Pays-Bas","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0367","AB","Netherlands","Pays-Bas","wildflower","fleur sauvage","0","S","S","S"
"OTT-FD-2018-CH-0368","QC","India","Inde","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0369","QC","India","Inde","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0372","QC","India","Inde","undeclared","non déclaré","3.1","S","U-I","U-I"
"OTT-FD-2018-CH-0373","BC","India","Inde","Neem","margousier","7.1","U-I","U-I","U-I"
"OTT-FD-2018-CH-0374","ON","Viet Nam","Viet Nam","undeclared","non déclaré","6.9","S","U-I","U-I"
"OTT-FD-2018-CH-0375","ON","Viet Nam","Viet Nam","undeclared","non déclaré","8.1","U-I","U-I","U-I"
"OTT-FD-2018-CH-0376","ON","Australia","Australie","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0377","ON","Australia","Australie","undeclared","non déclaré","8.2","U-I","S","U-I"
"OTT-FD-2018-CH-0378","ON","Australia, Brazil","Australie, Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0379","ON","Australia, Brazil","Australie, Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0380","ON","Australia","Australie","Manuka","Manuka","0","S","S","S"
"OTT-FD-2018-CH-0389","BC","Brazil, Mexico","Bresil, Mexique","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0390","BC","Brazil, Mexico","Bresil, Mexique","blossom","fleur","0","S","S","S"
"OTT-FD-2018-CH-0391","ON","Saudi Arabia","Arabie Saoudite","acacia","acacia","0.9","S","S","S"
"OTT-FD-2018-CH-0392","ON","USA","États Unis","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0393","ON","Saudi Arabia","Arabie Saoudite","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0394","ON","Saudi Arabia","Arabie Saoudite","undeclared","non déclaré","1.6","S","S","S"
"OTT-FD-2018-CH-0395","ON","Saudi Arabia","Arabie Saoudite","undeclared","non déclaré","0.7","S","S","S"
"OTT-FD-2018-CH-0396","ON","Saudi Arabia","Arabie Saoudite","undeclared","non déclaré","0.9","S","S","S"
"OTT-FD-2018-CH-0398","ON","USA, Viet Nam, India, Uruguay","États Unis, Viet Nam, Inde, Uruguay","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0399","BC","Italy","Italie","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0400","BC","Turkey","Turquie","multiflower","multifleur","0","S","S","S"
"OTT-FD-2018-CH-0401","BC","Spain","Espagne","forest blossom","fleur de forêt","1.7","S","S","S"
"OTT-FD-2018-CH-0402","ON","Viet Nam","Viet Nam","undeclared","non déclaré","0.3","S","U-I","U-I"
"OTT-FD-2018-CH-0411","ON","Pakistan","Pakistan","undeclared","non déclaré","13.2","U-I","U-I","U-I"
"OTT-FD-2018-CH-0414","QC","Germany","Allemagne","undeclared","non déclaré","0.1","S","U-I","U-I"
"OTT-FD-2018-CH-0415","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","4.7","S","S","S"
"OTT-FD-2018-CH-0418","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0423","ON","USA","États Unis","wildflower","fleur sauvage","2.8","S","U-I","U-I"
"OTT-FD-2018-CH-0424","ON","USA","États Unis","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0430","QC","Thailand","Thailande","undeclared","non déclaré","2.1","S","S","S"
"OTT-FD-2018-CH-0431","QC","Thailand","Thailande","undeclared","non déclaré","1.7","S","S","S"
"OTT-FD-2018-CH-0432","QC","Thailand","Thailande","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0433","ON","Mexico, Brasil","Mexique, Bresil","undeclared","non déclaré","1.8","S","S","S"
"OTT-FD-2018-CH-0434","BC","USA","États Unis","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0436","ON","Cuba, Mexico, Argentina","Cuba, Mexique, Argentine","blossom","fleur","0","S","S","S"
"OTT-FD-2018-CH-0443","ON","India, Thailand","Inde, Thailande","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0444","BC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","5.9","S","S","S"
"OTT-FD-2018-CH-0445","BC","New Zealand","Nouvelle-Zelande","rata","rata","0.4","S","S","S"
"OTT-FD-2018-CH-0446","BC","New Zealand","Nouvelle-Zelande","beechwood","hêtre","0","S","S","S"
"OTT-FD-2018-CH-0453","ON","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0454","ON","Brazil","Bresil","wildflower","fleur sauvage","0","S","S","S"
"OTT-FD-2018-CH-0457","QC","USA","États Unis","undeclared","non déclaré","0.8","S","S","S"
"OTT-FD-2018-CH-0458","QC","France","France","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0459","QC","France","France","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0460","QC","France","France","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0461","ON","Brasil, Uruguay, India","Bresil, Uruguay, Inde","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0462","ON","Romania","Roumanie","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0463","ON","Spain, Mexico, Guatemala, Ukraine, Bulgaria, Thailand","Espagne, Mexique, Guatemala, Ukraine, Bulgarie, Thailande","wildflower","fleur sauvage","0","S","S","S"
"OTT-FD-2018-CH-0482","ON","India, US","Inde, États Unis","undeclared","non déclaré","0.5","S","S","S"
"OTT-FD-2018-CH-0485","ON","USA","États Unis","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0486","ON","USA","États Unis","clover","trèfle","0","S","S","S"
"OTT-FD-2018-CH-0487","ON","India","Inde","undeclared","non déclaré","1.2","S","U-I","U-I"
"OTT-FD-2018-CH-0488","ON","Australia","Australie","undeclared","non déclaré","4.6","S","S","S"
"OTT-FD-2018-CH-0489","ON","Australia","Australie","undeclared","non déclaré","2.8","S","S","S"
"OTT-FD-2018-CH-0492","BC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","6.2","S","S","S"
"OTT-FD-2018-CH-0494","QC","France","France","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0495","QC","USA","États Unis","clover","trèfle","0","S","S","S"
"OTT-FD-2018-CH-0496","QC","France","France","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0497","QC","USA","États Unis","clover","trèfle","0","S","S","S"
"OTT-FD-2018-CH-0498","BC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0499","ON","Iran","Iran","undeclared","non déclaré","66.6","U-I","U-I","U-I"
"OTT-FD-2018-CH-0500","AB","New Zealand","Nouvelle-Zelande","Manuka","Manuka","4.4","S","S","S"
"OTT-FD-2018-CH-0506","ON","Ukraine","Ukraine","sunflower","tournesol","2.9","S","S","S"
"OTT-FD-2018-CH-0507","QC","Thailand","Thailande","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0508","ON","Mexico, Brasil","Mexique, Bresil","blossom","fleur","0.6","S","S","S"
"OTT-FD-2018-CH-0514","BC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0515","BC","Mexico","Mexique","orange blossom","fleur d'oranger","4.3","S","S","S"
"OTT-FD-2018-CH-0516","ON","Zambia","Zambie","undeclared","non déclaré","0.6","S","S","S"
"OTT-FD-2018-CH-0534","ON","Portugal","Portugal","lavender","lavande","0","S","S","S"
"OTT-FD-2018-CH-0535","ON","India","Inde","undeclared","non déclaré","12.6","U-I","S","U-I"
"OTT-FD-2018-CH-0536","ON","Spain, Mexico, Guatemala, Ukraine, Bulgaria, Thailand","Espagne, Mexique, Guatemala, Ukraine, Bulgarie, Thailande","wildflower","fleur sauvage","0.8","S","S","S"
"OTT-FD-2018-CH-0537","ON","India","Inde","wildflower","fleur sauvage","5.7","S","S","S"
"OTT-FD-2018-CH-0548","MB","Canada","Canada","canola","canola","0","S","S","S"
"OTT-FD-2018-CH-0549","QC","Viet Nam","Viet Nam","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0550","QC","Viet Nam","Viet Nam","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0551","QC","Argentina","Argentine","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0552","ON","Mexico, Cuba, Argentina, Uruguay","Mexique, Cuba, Argentine, Uruguay","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0553","ON","Pakistan","Pakistan","sidr","sidr","10.2","U-I","S","U-I"
"OTT-FD-2018-CH-0554","ON","Mexico, Cuba, Argentina, Uruguay","Mexique, Cuba, Argentine, Uruguay","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0558","BC","USA","États Unis","blossom","fleur","0.3","S","S","S"
"OTT-FD-2018-CH-0571","ON","Croatia","Croatie","linden","tilleul","0","S","S","S"
"OTT-FD-2018-CH-0572","ON","Croatia","Croatie","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0573","ON","India","Inde","undeclared","non déclaré","3.2","S","S","S"
"OTT-FD-2018-CH-0574","ON","Austria","Autriche","blossom","fleur","0","S","S","S"
"OTT-FD-2018-CH-0581","ON","Australia","Australie","undeclared","non déclaré","6.8","S","S","S"
"OTT-FD-2018-CH-0582","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0583","QC","Brazil","Bresil","undeclared","non déclaré","1.4","S","S","S"
"OTT-FD-2018-CH-0584","ON","Brasil, Australia","Bresil, Australie","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0585","ON","Brasil, Australia","Bresil, Australie","orange blossom","fleur d'oranger","2.4","S","S","S"
"OTT-FD-2018-CH-0586","ON","Brasil, Australia","Bresil, Australie","undeclared","non déclaré","1.7","S","S","S"
"OTT-FD-2018-CH-0592","QC","France","France","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0593","QC","India","Inde","undeclared","non déclaré","-","ND-AD","U-I","U-I"
"OTT-FD-2018-CH-0598","ON","Turkey","Turquie","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0599","ON","Turkey","Turquie","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0600","ON","India","Inde","White Himalayan","blanc himalayen","1.9","S","S","S"
"OTT-FD-2018-CH-0601","ON","India","Inde","Neem","margousier","1.1","S","S","S"
"OTT-FD-2018-CH-0602","ON","India","Inde","Neem","margousier","5.6","S","U-I","U-I"
"OTT-FD-2018-CH-0603","ON","India","Inde","White Himalayan","blanc himalayen","3.2","S","S","S"
"OTT-FD-2018-CH-0604","ON","India","Inde","acacia","acacia","2.9","S","U-I","U-I"
"OTT-FD-2018-CH-0605","ON","India","Inde","Neem","margousier","6.3","S","U-I","U-I"
"OTT-FD-2018-CH-0606","ON","India","Inde","acacia","acacia","4","S","S","S"
"OTT-FD-2018-CH-0607","ON","USA","États Unis","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0608","ON","Israel","Israël","citrus blossom","fleur d'agrumes","2.8","S","S","S"
"OTT-FD-2018-CH-0609","ON","Israel","Israël","ziziphus blossom","fleur de ziziphe","24","U-I","S","U-I"
"OTT-FD-2018-CH-0610","ON","Israel","Israël","wildflower","fleur sauvage","0","S","U-I","U-I"
"OTT-FD-2018-CH-0611","ON","Israel","Israël","avocado blossom","fleur d'avocat","3","S","S","S"
"OTT-FD-2018-CH-0612","ON","Israel","Israël","starthistle blossom","fleur de chardon des champs","36.8","U-I","S","U-I"
"OTT-FD-2018-CH-0613","AB","Spain","Espagne","undeclared","non déclaré","2.7","S","S","S"
"OTT-FD-2018-CH-0622","SK","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0623","BC","India","Inde","acacia","acacia","4.5","S","S","S"
"OTT-FD-2018-CH-0624","QC","India","Inde","undeclared","non déclaré","3.6","S","S","S"
"OTT-FD-2018-CH-0625","QC","USA","États Unis","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0626","QC","India","Inde","undeclared","non déclaré","2.4","S","S","S"
"OTT-FD-2018-CH-0627","ON","USA, Argentina","États Unis, Argentine","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0628","ON","Spain, Mexico, Guatemala, Ukraine, Bulgaria, Thailand","Espagne, Mexique, Guatemala, Ukraine, Bulgarie, Thailande","wildflower","fleur sauvage","2.3","S","S","S"
"OTT-FD-2018-CH-0629","ON","USA","États Unis","undeclared","non déclaré","1.3","S","S","S"
"OTT-FD-2018-CH-0630","ON","USA","États Unis","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0631","QC","New Zealand","Nouvelle-Zelande","Manuka","Manuka","9.1","S","S","S"
"OTT-FD-2018-CH-0633","QC","France","France","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0636","MB","Canada","Canada","canola, alfalfa","canola, luzerne","0","S","S","S"
"OTT-FD-2018-CH-0638","MB","Canada","Canada","wildflower","fleur sauvage","0","S","S","S"
"OTT-FD-2018-CH-0644","QC","USA, Viet Nam, India, Uruguay","États Unis, Viet Nam, Inde, Uruguay","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0645","QC","Romania","Roumanie","Linden","tilleul","4.5","S","S","S"
"OTT-FD-2018-CH-0646","QC","Romania","Roumanie","acacia","acacia","2.3","S","S","S"
"OTT-FD-2018-CH-0659","QC","Thailand","Thailande","undeclared","non déclaré","5.7","S","S","S"
"OTT-FD-2018-CH-0660","QC","Thailand","Thailande","undeclared","non déclaré","3.1","S","S","S"
"OTT-FD-2018-CH-0661","AB","Canada","Canada","strawberry","fraise","2.5","S","S","S"
"OTT-FD-2018-CH-0662","AB","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0663","AB","Canada","Canada","undeclared","non déclaré","0.4","S","S","S"
"OTT-FD-2018-CH-0671","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","9.3","S","S","S"
"OTT-FD-2018-CH-0672","ON","Greece","Grece","undeclared","non déclaré","0.7","S","U-I","U-I"
"OTT-FD-2018-CH-0673","ON","Greece","Grece","undeclared","non déclaré","0.4","S","U-I","U-I"
"OTT-FD-2018-CH-0674","ON","Greece","Grece","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0675","ON","Greece","Grece","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0676","ON","Greece","Grece","undeclared","non déclaré","0.2","S","U-I","U-I"
"OTT-FD-2018-CH-0677","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","12.1","U-I","S","U-I"
"OTT-FD-2018-CH-0678","ON","India","Inde","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0679","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","5","S","S","S"
"OTT-FD-2018-CH-0680","ON","Greece","Grece","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0681","ON","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0682","AB","New Zealand","Nouvelle-Zelande","Manuka","Manuka","3.3","S","S","S"
"OTT-FD-2018-CH-0684","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0685","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0686","QC","Taiwan, prov. China","Taiwan, prov. de Chine","undeclared","non déclaré","-","U-I","U-I","U-I"
"OTT-FD-2018-CH-0687","QC","Taiwan, prov. China","Taiwan, prov. de Chine","undeclared","non déclaré","-","U-I","U-I","U-I"
"OTT-FD-2018-CH-0688","ON","Italy","Italie","acacia","acacia","0.7","S","S","S"
"OTT-FD-2018-CH-0689","ON","Italy","Italie","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0690","ON","Italy","Italie","chestnut","châtaigne","0.7","S","S","S"
"OTT-FD-2018-CH-0691","ON","Italy","Italie","wildflower","fleur sauvage","0","S","S","S"
"OTT-FD-2018-CH-0692","ON","Italy","Italie","orange blossom","fleur d'oranger","0.4","S","S","S"
"OTT-FD-2018-CH-0693","ON","France","France","orange blossom","fleur d'oranger","3.5","S","S","S"
"OTT-FD-2018-CH-0694","ON","France","France","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0695","ON","France","France","chestnut","châtaigne","0","S","S","S"
"OTT-FD-2018-CH-0696","ON","France","France","lavender","lavande","1.2","S","S","S"
"OTT-FD-2018-CH-0698","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","5.1","S","S","S"
"OTT-FD-2018-CH-0699","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","7.1","S","S","S"
"OTT-FD-2018-CH-0700","QC","Brazil","Bresil","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0702","QC","Thailand","Thailande","undeclared","non déclaré","2.9","S","S","S"
"OTT-FD-2018-CH-0704","QC","Brazil","Bresil","undeclared","non déclaré","0.7","S","S","S"
"OTT-FD-2018-CH-0705","QC","Brazil","Bresil","undeclared","non déclaré","-","ND-AD","S","U-I"
"OTT-FD-2018-CH-0730","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","6.7","S","S","S"
"OTT-FD-2018-CH-0734","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","8.4","S","S","S"
"OTT-FD-2018-CH-0736","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","5","S","S","S"
"OTT-FD-2018-CH-0737","ON","India","Inde","undeclared","non déclaré","2.6","S","U-I","U-I"
"OTT-FD-2018-CH-0748","QC","India","Inde","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0757","ON","Germany","Allemagne","forest","forêt","0.4","S","S","S"
"OTT-FD-2018-CH-0758","ON","Germany","Allemagne","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0759","QC","Greece","Grece","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0760","SK","Canada","Canada","alfalfa","luzerne","0","S","S","S"
"OTT-FD-2018-CH-0761","QC","Canada","Canada","clover","trèfle","2.1","S","S","S"
"OTT-FD-2018-CH-0763","ON","India, Uruguay, Viet Nam","Inde, Uruguay, Viet Nam","undeclared","non déclaré","0.9","S","S","S"
"OTT-FD-2018-CH-0764","ON","New Zealand","Nouvelle-Zelande","Manuka","Manuka","6.1","S","S","S"
"OTT-FD-2018-CH-0765","ON","Pakistan","Pakistan","undeclared","non déclaré","33.7","U-I","U-I","U-I"
"OTT-FD-2018-CH-0769","ON","Germany","Allemagne","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0770","ON","Italy","Italie","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0772","ON","Austria","Autriche","blossom","fleur","0","S","S","S"
"OTT-FD-2018-CH-0774","ON","Germany","Allemagne","undeclared","non déclaré","0.5","S","U-I","U-I"
"OTT-FD-2018-CH-0778","ON","Austria","Autriche","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0780","QC","Viet Nam","Viet Nam","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0783","ON","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0784","ON","Brazil","Bresil","undeclared","non déclaré","1.4","S","S","S"
"OTT-FD-2018-CH-0785","ON","Argentina","Argentine","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0790","QC","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0791","BC","Canada","Canada","clover","trèfle","0","S","S","S"
"OTT-FD-2018-CH-0793","QC","India","Inde","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0795","ON","Brazil","Bresil","undeclared","non déclaré","0.2","S","S","S"
"OTT-FD-2018-CH-0796","ON","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0818","ON","Greece","Grece","undeclared","non déclaré","0","S","U-I","U-I"
"OTT-FD-2018-CH-0825","ON","Brazil","Bresil","undeclared","non déclaré","4.2","S","S","S"
"OTT-FD-2018-CH-0835","ON","Moldova","Moldavie","acacia","acacia","0","S","S","S"
"OTT-FD-2018-CH-0859","ON","Israel","Israël","ziziphus blossom","fleur de ziziphe","0","S","S","S"
"OTT-FD-2018-CH-0954","ON","Canada","Canada","undeclared","non déclaré","0","S","S","S"
"OTT-FD-2018-CH-0955","ON","Canada","Canada","wildflower","fleur sauvage","0","S","S","S"
"OTT-FD-2018-CH-0956","ON","Canada","Canada","blossom","fleur","0","S","S","S"
"OTT-FD-2018-CH-0957","ON","Canada","Canada","undeclared","non déclaré","0","S","S","S"
